family,genus,Checked,Changed,subgenus,refgenus,species,origin,extin,duration,ref,ancestor,,range,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Truncorotaloididae,Acarinina,Y,,,2,strabocella,61,59,2,1190,535,,1.9,1.68054650969306,78.4366666666667,0.991714213031944,1.48374293170944,75.3,77.26,82.75,85.3794612891397,167.7,5,1.12064616919033,183.92,272.89,64.1,52602.15,0.289761730271481,1.3052471750591,0.952747988103855,0.919537334120157,90,90,1,0.647788846275159,0,3
Truncorotaloididae,Astrorotalia,Y,,,6,palmerae,50.2,49.3,0.900000000000006,512,569,,0.900000000000006,1.58457623825584,52.0233333333333,1.15729277207876,0.45788092982584,65.3,48.12,42.65,91.1442095957752,179.82,6,1.06375622915773,274.46,125.67,71.18,54008.76,0.263527805489332,1.16021856922472,0.760171964355728,1,38.71,57.15,0.677340332458443,0.831352664743772,0,3
Truncorotaloididae,Guembelitrioides,,,,92,lozanoi,51.5,42.9,8.6,467,674,,8.6,1.862,66.047,1.079,1.322,57.293,63.415,77.432,98.1,130,5.5,1.115,271.462,366.713,88.845,123519.48,0.310832024228081,1.28569111165361,0.906450753652333,0.935136392410553,90,90,1,0.833915530184255,0,3
Truncorotaloididae,Igorina,Y,,,67,anapetes,47.2,43.6,3.6,1160,1216,,3.6,2.20197583478686,34.3866666666667,1.16986545694234,1.57876860038818,39.55,25.69,37.92,97.3442209775134,148.3,8,1.10463470145075,185.48,292.83,90,53374,0.215065574999063,1.09065058501591,0.679302299959315,0.964265953133184,46.42,46.32,1.00215889464594,0.926011037334418,0,3
Truncorotaloididae,Igorina,Y,,,67,broedermanni,55.5,43.7,11.8,1216,463,,11.8,1.51881316835125,57.2433333333333,0.819290465631929,0.715074789339999,62.33,51.37,58.03,88.0019242485738,118.65,6,1.07548895921129,248.03,177.36,90,41160.47,0.262047542217084,1.09712821850341,0.861766516027024,0.926910729154446,30.06,87.03,0.345398138572906,0.847334859461214,0,3
Truncorotaloididae,Igorina,Y,,,67,lodoensis,55.9,50.5,5.4,463,332,,5.4,1.676,55.552,1.079,1.428,58.638,52.923,55.095,94.7,114,6.5,1.08,145.562,210.038,77.454,47389.83,0.230527942387639,1.1867524983115,0.877117428683945,0.946658503973319,49.95,23.89,2.09083298451235,0.847694003181776,0,3
Truncorotaloididae,Igorina,Y,,,67,tadjikistanensis,60.6,55.5,5.1,332,574,,4.5,2.385,63.524,1.18,1.541,62.269,61.156,67.148,92.1,131,5.5,1.168,133.927,210.589,77.467,33919.29,0.327570535821947,1.11607478403215,0.707163823776613,0.958033326863683,90,90,1,0.871554017275377,0,3
Truncorotaloididae,Igorina,Y,,,67,albeari,56.6,55.9,0.700000000000003,244,574,,4.1,6.519,36.342,1.138,1.648,29.806,29.93,49.29,81.6,114,6,1.16,170.18,276.86,65.231,45204.48,0.396133746035791,1.12457811406215,1.01836166043503,0.986831280385878,60.8,23.59,2.57736328952946,0.923611955126918,0,3
Truncorotaloididae,Igorina,Y,,,67,pusilla,61.7,59.3,2.40000000000001,574,672,,1.7,2.336,61.132,1.193,1.463,64.301,58.926,60.171,89.6,122,5,1.155,140.607,208.643,84.168,246148.61,0.297853073393346,1.13727042649224,0.924230538475017,0.941383136072251,85.6,90,0.951111111111111,0.916329591170322,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,aragonensis,52.3,43.6,8.7,267,456,,8.7,0.931,53.906,1.301,1.594,35.807,60.05,65.863,82.3,143,6.5,1.011,358.019,570.895,64.877,192844.59,0.260402119655003,1.09354485937183,0.952006305411698,0.999264650273445,71.05,26.63,2.66804355989486,0.851961949262041,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,crater,53.4,44.3,9.1,336,456,,9.1,2.087,64.536,1.133,1.691,57.652,57.11,78.846,84.7,135,5.25,1.109,324.152,546.705,61.78,219064.77,0.30401524626712,1.2145592338549,0.986421422269774,1,65.87,23.86,2.76068734283319,0.845515107251435,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,caucasica,50.8,46.7,4.09999999999999,302,336,,4.09999999999999,3.37,59.451,1.269,1.703,36.873,67.473,74.008,85.9,135,6,1.165,347.98,591.82,64.823,313712.4,0.170836058759552,1.11442620805713,0.536756260261865,1,73.29,23.39,3.13339033775118,0.818602519068841,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,formosa,54,50.4,3.6,378,393,,3.6,1.784,45.559,1.102,1.996,48.573,41.98,46.123,83.5,154,6,1.08,302.126,617.621,53.473,232652.76,0.337445599183951,1.17064817500585,0.858889225859134,0.999472974421242,59.18,18.67,3.16979110873058,0.825262939051488,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,lensiformis,54,50.7,3.3,456,626,,3.3,2.031,84.602,1.256,1.441,71.37,90.252,92.183,86.6,145,4.25,1.171,325.967,488.95,69.505,138814.29,0.38854839800715,1.25120759364198,1.04398585177192,0.997582326845001,55.22,21.16,2.60964083175803,0.858725559655945,0,3
